env_seed,beta,sigma,nsw_mean_seed
0,0.001,0.0,-8.049388530714566
0,0.001,0.001,-8.049237699718311
0,0.001,0.0017782794100389228,-8.04964903915666
0,0.001,0.0031622776601683794,-8.049048791479546
0,0.001,0.005623413251903491,-8.049112213371998
0,0.001,0.01,-8.050760587142339
0,0.001,0.01778279410038923,-8.053123159814751
0,0.001,0.03162277660168379,-8.062181030864288
0,0.001,0.05623413251903491,-8.059619272612071
0,0.001,0.1,-8.076852681864688
0,0.001,0.1778279410038923,-8.1395882801658
0,0.001,0.31622776601683794,-8.238992925588365
0,0.001,0.5623413251903491,-8.710833412350715
0,0.001,1.0,-9.36147537494763
0,0.01,0.0,-8.06227352869536
0,0.01,0.001,-8.062278046296809
0,0.01,0.0017782794100389228,-8.062312201170743
0,0.01,0.0031622776601683794,-8.062275098695283
0,0.01,0.005623413251903491,-8.062272461344348
0,0.01,0.01,-8.062360587745257
0,0.01,0.01778279410038923,-8.062454706181025
0,0.01,0.03162277660168379,-8.062978933441855
0,0.01,0.05623413251903491,-8.064290989101933
0,0.01,0.1,-8.073180519347511
0,0.01,0.1778279410038923,-8.094026354625486
0,0.01,0.31622776601683794,-8.136870938835909
0,0.01,0.5623413251903491,-8.500635226382883
0,0.01,1.0,-8.86566622740911
0,0.1,0.0,-8.63931338629418
0,0.1,0.001,-8.63931013999535
0,0.1,0.0017782794100389228,-8.639318242509015
0,0.1,0.0031622776601683794,-8.639327402689116
0,0.1,0.005623413251903491,-8.63932656214815
0,0.1,0.01,-8.639411261832999
0,0.1,0.01778279410038923,-8.63930671193056
0,0.1,0.03162277660168379,-8.639437016214986
0,0.1,0.05623413251903491,-8.640478417329247
0,0.1,0.1,-8.641805397899518
0,0.1,0.1778279410038923,-8.644765453527747
0,0.1,0.31622776601683794,-8.650872832628226
0,0.1,0.5623413251903491,-8.709379323199762
0,0.1,1.0,-8.769061610889024
0,1.0,0.0,-9.364616354023294
0,1.0,0.001,-9.364618370453844
0,1.0,0.0017782794100389228,-9.364611541695526
0,1.0,0.0031622776601683794,-9.364619635803466
0,1.0,0.005623413251903491,-9.364599730465853
0,1.0,0.01,-9.364644383838575
0,1.0,0.01778279410038923,-9.364623230737676
0,1.0,0.03162277660168379,-9.36460660544506
0,1.0,0.05623413251903491,-9.364921182921105
0,1.0,0.1,-9.364800738662932
0,1.0,0.1778279410038923,-9.364503506779855
0,1.0,0.31622776601683794,-9.365021204313758
0,1.0,0.5623413251903491,-9.363138571478235
0,1.0,1.0,-9.364078833408053
1,0.001,0.0,-7.875347441296221
1,0.001,0.001,-7.875215931745358
1,0.001,0.0017782794100389228,-7.8755859391063145
1,0.001,0.0031622776601683794,-7.875550661346842
1,0.001,0.005623413251903491,-7.874360491002777
1,0.001,0.01,-7.876380297497712
1,0.001,0.01778279410038923,-7.874110540402652
