beta,sigma,mean_nsw,std_nsw,n_seeds,sem_nsw
0.001,0.0,0.07277824089813079,0.00999617906150974,10,0.003161069373325516
0.001,0.001,0.07279718655893327,0.009999258879969605,10,0.0031620432974368167
0.001,0.0017782794100389228,0.07278161568439015,0.009992637573956253,10,0.003159949456628101
0.001,0.0031622776601683794,0.07280464719529219,0.010005446991447111,10,0.003164000150105212
0.001,0.005623413251903491,0.07283942035397184,0.009999567993457824,10,0.003162141047704642
0.001,0.01,0.0728222781990074,0.009946272706370891,10,0.0031452875981299155
0.001,0.01778279410038923,0.07273188435171815,0.010006512254724554,10,0.0031643370159316576
0.001,0.03162277660168379,0.07270198642684572,0.009871695732588824,10,0.0031217042883145162
0.001,0.05623413251903491,0.07229739095557293,0.00995176653549408,10,0.0031470248994404197
0.001,0.1,0.07211936635988085,0.00965474817462424,10,0.003053099446716567
0.001,0.1778279410038923,0.0699661278688783,0.01075194583534103,10,0.003400063811843938
0.001,0.31622776601683794,0.06757779904403746,0.011454170814952076,10,0.003622126848387559
0.001,0.5623413251903491,0.059048760550352096,0.011818940315472669,10,0.0037374770926482635
0.001,1.0,0.04869652156032978,0.012405442657205962,10,0.003922945417938227
0.01,0.0,0.07061169667947217,0.011410362535906616,10,0.003608273454171971
0.01,0.001,0.07061142171885229,0.011409056870220606,10,0.003607860566428919
0.01,0.0017782794100389228,0.07061193775278499,0.01140935367946472,10,0.003607954425753118
0.01,0.0031622776601683794,0.07061125044245707,0.011414957773689657,10,0.003609726595950418
0.01,0.005623413251903491,0.07061273658062785,0.011402319816740678,10,0.003605730123057425
0.01,0.01,0.07058124150529661,0.011408023935899092,10,0.0036075339239159845
0.01,0.01778279410038923,0.07062370768654803,0.011408320957247533,10,0.003607627850313461
0.01,0.03162277660168379,0.07062773952490006,0.011417950093294906,10,0.003610672850494394
0.01,0.05623413251903491,0.07037849156030866,0.011444033177104648,10,0.003618921045818379
0.01,0.1,0.07044621175438097,0.011539972523162892,10,0.0036492597308954936
0.01,0.1778279410038923,0.07001610526835098,0.011348685011374095,10,0.0035887693083756027
0.01,0.31622776601683794,0.06890815208341135,0.01175758895817513,10,0.0037180760899879622
0.01,0.5623413251903491,0.06411474445824826,0.01109409775162819,10,0.0035082617479698067
0.01,1.0,0.057165641555205524,0.012676738059392408,10,0.004008736556902286
0.1,0.0,0.05849236043277235,0.010630118277685459,10,0.0033615385554472293
0.1,0.001,0.05849237851310977,0.010630026845975781,10,0.003361509642201935
0.1,0.0017782794100389228,0.05849231527802259,0.010630108387221076,10,0.0033615354278077724
0.1,0.0031622776601683794,0.05849272990979042,0.01063097608980815,10,0.00336180981945845
0.1,0.005623413251903491,0.05849175251838292,0.010630265011655054,10,0.003361584956802633
0.1,0.01,0.05849216408033642,0.01063153915464989,10,0.0033619878761954763
0.1,0.01778279410038923,0.05849379919642208,0.010631940732913616,10,0.0033621148663926952
0.1,0.03162277660168379,0.05849265202944439,0.010627625223018413,10,0.0033607501823393116
0.1,0.05623413251903491,0.058483151530957754,0.010620519206397637,10,0.003358503062578045
0.1,0.1,0.05847375344444743,0.010617610386508223,10,0.00335758321296267
0.1,0.1778279410038923,0.05841165145624122,0.010595631954138691,10,0.003350633022393901
0.1,0.31622776601683794,0.05819405112261261,0.01053103361410035,10,0.003330205233635181
0.1,0.5623413251903491,0.05750741631098636,0.010437445758001457,10,0.003300610154974722
0.1,1.0,0.05617111410836674,0.010524992880307778,10,0.003328294985882853
1.0,0.0,0.04517112029095128,0.0071200043770544555,10,0.0022515430781860383
1.0,0.001,0.045171106971354444,0.007119993428023069,10,0.002251539615798303
1.0,0.0017782794100389228,0.04517107043260757,0.007119981520082638,10,0.0022515358501769022
1.0,0.0031622776601683794,0.045171171249608816,0.00712008055827172,10,0.002251567168802186
1.0,0.005623413251903491,0.0451713060028204,0.007120038933138155,10,0.0022515540057791886
1.0,0.01,0.045171210569348905,0.0071200451485760995,10,0.0022515559712732447
1.0,0.01778279410038923,0.04517143763750247,0.007119807683463921,10,0.0022514808782113133
1.0,0.03162277660168379,0.045171047839242945,0.007120254873031741,10,0.0022516222919693315
1.0,0.05623413251903491,0.04517162801750327,0.007120812466632418,10,0.002251798618548019
1.0,0.1,0.04517252091707331,0.007121336157541455,10,0.0022519642241542667
1.0,0.1778279410038923,0.04517499415163945,0.007121739018032167,10,0.002252091619827261
1.0,0.31622776601683794,0.045164933023161165,0.007124636552113224,10,0.0022530079005566713
1.0,0.5623413251903491,0.04517265069646237,0.00712383448551189,10,0.002252754264827135
1.0,1.0,0.045143673763690315,0.00710772786183253,10,0.0022476609032029368
